Epoch,Loss,Accuracy
1,2.532749652862549,0.29296875
2,1.9166080951690674,0.4482421875
3,1.6269328594207764,0.5419921875
4,1.4297049045562744,0.5634765625
5,1.317997694015503,0.5869140625
6,1.246734380722046,0.6142578125
7,1.1543493270874023,0.638671875
8,1.0950263738632202,0.65625
9,1.0305694341659546,0.68359375
10,0.9810943603515625,0.6923828125
11,0.9433175921440125,0.6982421875
12,0.9130076169967651,0.7216796875
13,0.8816496133804321,0.7197265625
14,0.8472192287445068,0.7236328125
15,0.8486475944519043,0.7353515625
16,0.8197747468948364,0.732421875
17,0.8161616921424866,0.7470703125
18,0.8026504516601562,0.7373046875
19,0.7704227566719055,0.7529296875
20,0.7664368152618408,0.755859375
21,0.7604742646217346,0.7470703125
22,0.735492467880249,0.7578125
23,0.7138795852661133,0.76953125
24,0.7006669044494629,0.787109375
25,0.6803579330444336,0.77734375
26,0.6944580078125,0.7734375
27,0.6445103883743286,0.798828125
28,0.6603032946586609,0.796875
29,0.6282007098197937,0.8056640625
30,0.6326758861541748,0.78125
31,0.5863634943962097,0.798828125
32,0.5938777327537537,0.802734375
33,0.5927437543869019,0.802734375
34,0.5555033683776855,0.8173828125
35,0.5498964190483093,0.818359375
36,0.5507889986038208,0.8212890625
37,0.5393372774124146,0.8330078125
38,0.5289881229400635,0.8212890625
39,0.5364727973937988,0.818359375
40,0.5337597727775574,0.8134765625
41,0.5217371582984924,0.818359375
42,0.5141685009002686,0.8291015625
43,0.4886525869369507,0.8388671875
44,0.4986257553100586,0.8291015625
45,0.48248326778411865,0.8349609375
46,0.4777492582798004,0.8427734375
47,0.4498099982738495,0.8564453125
48,0.44020941853523254,0.849609375
49,0.45724788308143616,0.84765625
50,0.43286794424057007,0.8515625
51,0.44073131680488586,0.859375
52,0.40653613209724426,0.875
53,0.42192691564559937,0.853515625
54,0.40887218713760376,0.85546875
55,0.4150610566139221,0.861328125
56,0.40807509422302246,0.8671875
57,0.3991699814796448,0.873046875
58,0.3829202353954315,0.8701171875
59,0.37411266565322876,0.8779296875
60,0.34816086292266846,0.884765625
61,0.39395612478256226,0.8720703125
62,0.36470186710357666,0.87109375
63,0.33818504214286804,0.8828125
64,0.3643130660057068,0.8798828125
65,0.35770487785339355,0.8798828125
66,0.36549949645996094,0.880859375
67,0.36025646328926086,0.8779296875
68,0.33974504470825195,0.8857421875
69,0.3326259255409241,0.89453125
70,0.3550465703010559,0.876953125
71,0.3591625988483429,0.8837890625
72,0.3671833574771881,0.8740234375
73,0.29704058170318604,0.8984375
74,0.31567591428756714,0.8916015625
75,0.3230970501899719,0.89453125
76,0.2911776006221771,0.908203125
77,0.32379186153411865,0.890625
78,0.30188876390457153,0.9013671875
79,0.29722800850868225,0.8984375
80,0.3014751672744751,0.8994140625
81,0.32085704803466797,0.89453125
82,0.3073223829269409,0.888671875
83,0.2620128095149994,0.9033203125
84,0.30599266290664673,0.8974609375
85,0.30140429735183716,0.900390625
86,0.294289767742157,0.9052734375
87,0.28985169529914856,0.8994140625
88,0.27721449732780457,0.9033203125
89,0.27471980452537537,0.904296875
90,0.24462707340717316,0.923828125
